Modulo,Aula,Texto,Pergunta,OpcaoA,OpcaoB,OpcaoC,OpcaoD,RespostaCorreta,Fontes
"Módulo 1: Conhecendo os Riscos do Dia a Dia","Aula 1: O Que é Direito Autoral?","Primeiramente, é essencial definir o que é Direito Autoral e o que ele protege. De acordo com a Lei nº 9.610/98, conhecida como a Lei de Direitos Autorais, o direito autoral é o conjunto de prerrogativas que a lei garante ao criador de uma obra intelectual para que ele possa gozar dos benefícios morais e patrimoniais resultantes da exploração de suas criações. Conforme o Art. 7º da mesma lei, obras são as criações do espírito, expressas por qualquer meio ou fixadas em qualquer suporte, tangível ou intangível. Isso inclui diversos tipos de criações como textos, músicas, ilustrações, fotografias, apresentações de slides e até mesmo programas de computador. É fundamental entender que a lei protege a expressão de uma ideia, e não a ideia em si. A obra é considerada protegida a partir do momento em que é fixada em algum meio. A proteção do direito autoral no Brasil é automática. A lei garante dois tipos de direitos: o moral (ligado à pessoa do autor, intransferível) e o patrimonial (direito de explorar economicamente a criação, que pode ser transferido).","Qual das seguintes afirmações sobre direitos autorais é a correta?","a) Para uma obra ser protegida, ela precisa ser registrada em um órgão oficial do governo.","b) Direitos autorais protegem principalmente as ideias e conceitos abstratos de uma pessoa.","c) A proteção do direito autoral sobre uma obra (como um texto ou foto) surge no momento de sua criação.","d) Apenas obras de grande valor artístico ou comercial são protegidas por lei.","c) O direito autoral no Brasil é declaratório, não constitutivo. Ele nasce com a obra.",""
"Módulo 1: Conhecendo os Riscos do Dia a Dia","Aula 2: Licenças, Domínio Público e Uso na Internet","Se quase todo conteúdo é protegido por direitos autorais, como podemos usar o que encontramos na internet? A resposta está em dois conceitos: Licenças e Domínio Público. Uma licença é uma permissão formal concedida pelo autor. A mais comum para conteúdo gratuito é a Creative Commons (CC), com variações como: BY (exige crédito), NC (proíbe uso comercial), ND (proíbe alterações) e SA (exige que obras derivadas sejam licenciadas sob os mesmos termos). Se não há licença explícita, o uso não é recomendado. Domínio Público é o conjunto de obras sem proteção de direitos autorais, geralmente por expiração do prazo (no Brasil, 70 anos após a morte do autor), podendo ser usadas livremente.","Um funcionário encontra uma foto em um blog e, na legenda, o autor escreveu: ""Pode usar, só peço que coloque os créditos"". Para qual finalidade esta autorização informal é provavelmente segura?","a) Usar a foto na embalagem de um novo produto da empresa a ser vendido nacionalmente.","b) Usar a foto como parte de uma grande campanha publicitária na televisão.","c) Usar a foto em uma apresentação interna para a equipe, com os devidos créditos.","d) Modificar a foto e vendê-la em um banco de imagens como se fosse da empresa.","c) Uma autorização informal e simples geralmente se aplica a usos não comerciais e de baixo impacto. Usos comerciais exigem uma licença explícita e robusta.",""
"Módulo 1: Conhecendo os Riscos do Dia a Dia","Aula 3: Como a IA Generativa ""Aprende""? (O Treinamento)","As IAs generativas, como o ChatGPT, não ""pensam"". Elas são sistemas avançados de reconhecimento de padrões treinados com um volume gigantesco de conteúdos da internet. Sua principal habilidade é prever a próxima palavra mais provável em uma frase para atender à solicitação do usuário. Para isso, precisam de uma quantidade enorme de dados, e é quase impossível que todo esse material seja livre de direitos autorais. Consequentemente, grande parte dos dados de treinamento é material protegido, muitas vezes usado sem autorização explícita dos criadores, o que é o centro do debate legal sobre o tema.","A qualidade e a natureza do conteúdo gerado por uma IA estão diretamente ligadas a quê?","a) À velocidade da conexão de internet do usuário que faz a pergunta.","b) À quantidade de ""consciência"" que o algoritmo de IA possui.","c) Exclusivamente aos comandos (prompts) que o usuário escreve.","d) Ao gigantesco volume e variedade de dados (textos, imagens, códigos) com os quais ela foi treinada.","d) A IA gera respostas baseadas nos padrões que aprendeu de seus dados de treinamento. A qualidade do input (prompt) importa, mas a base de tudo é o treinamento.",""
"Módulo 1: Conhecendo os Riscos do Dia a Dia","Aula 4: O Grande Risco do ""Input"": Dados da Empresa","Tudo o que você digita em um LLM público é um ""input"" e representa um grande risco de segurança. A regra é: NUNCA insira dados confidenciais ou proprietários da empresa em LLMs não aprovados (informações financeiras, estratégias, dados de clientes, códigos-fonte, etc.). Ao usar ferramentas públicas, você geralmente autoriza que seus dados sejam usados para treinar o LLM, sem garantia de sigilo, podendo ser expostos a terceiros ou vazamentos. Consulte sempre seu gestor ou o departamento de TI para saber quais são as plataformas seguras e autorizadas.","Qual é a principal razão pela qual você NUNCA deve inserir o planejamento estratégico trimestral da empresa em uma IA pública?","a) Porque a IA pode dar um resumo incorreto da estratégia.","b) Porque os termos de uso dessas ferramentas podem permitir que seus dados sejam usados para treinar a IA, tornando a informação vulnerável a vazamentos.","c) Porque isso sobrecarrega o servidor da ferramenta de IA com muita informação.","d) Porque a IA pode não entender jargões específicos do mercado da empresa.","b) O risco principal não é a qualidade da resposta, mas a perda de confidencialidade e o risco de segurança da informação.",""
"Módulo 1: Conhecendo os Riscos do Dia a Dia","Aula 5: Cuidado Redobrado com o ""Input"": Dados Pessoais (LGPD)","Dados pessoais de clientes, colegas e parceiros são ainda mais sensíveis e protegidos pela Lei Geral de Proteção de Dados (LGPD). Colocar dados pessoais (listas de e-mail, currículos, CPFs) em um LLM público é como entregá-los a um terceiro sem a permissão da pessoa, o que a LGPD proíbe e pode gerar multas altíssimas. A regra é ainda mais rígida: NUNCA use dados pessoais em LLMs que não sejam as ferramentas oficiais e seguras da empresa. Em caso de dúvida, pare e pergunte ao seu gestor ou ao TI.","Um funcionário precisa organizar uma lista de participantes de um evento, que contém nome, e-mail e telefone. Por que usar uma IA pública para ""limpar e formatar"" essa lista é uma violação da LGPD?","a) Porque a IA pode formatar os números de telefone de maneira errada.","b) Porque constitui um tratamento de dados pessoais sem o consentimento explícito do titular para essa finalidade específica e com um terceiro não autorizado (a empresa de IA).","c) Porque a LGPD só permite o tratamento de dados pessoais feito de forma manual, sem uso de tecnologia.","d) Porque o funcionário não é da área de TI e não deveria mexer com listas.","b) A LGPD é muito clara sobre a finalidade e o compartilhamento de dados. Inserir em uma IA pública é um compartilhamento não autorizado.",""
"Módulo 1: Conhecendo os Riscos do Dia a Dia","Aula 6: O Conteúdo Gerado pela IA Pode Violar Direitos Autorais?","O conteúdo gerado por um LLM (o ""output"") pode ser muito parecido com um material específico usado em seu treinamento, que muitas vezes é protegido por direitos autorais. Por exemplo, ao pedir um texto para o site, o modelo pode gerar um parágrafo quase idêntico a um artigo de uma revista especializada. Se publicarmos isso, a empresa pode ser acusada de plágio e violação de direitos autorais, mesmo sem a intenção de copiar. O risco está no fato de o LLM ser um ""eco"" de seu treinamento.","A empresa usa uma IA para gerar a música tema de um podcast. A melodia fica muito parecida com a de uma canção famosa. Qual o risco aqui?","a) O risco da audiência não gostar da música por ter sido feita por IA.","b) O risco do dono dos direitos da canção famosa processar a empresa por plágio/violação de direito autoral.","c) O risco da empresa de IA exigir créditos pela criação da melodia.","d) Não há risco, pois a IA que criou a música, e uma máquina não pode cometer plágio.","b) O uso de um output que é substancialmente similar a uma obra protegida é um dos maiores riscos legais atuais, independentemente de como foi criado.",""
"Módulo 1: Conhecendo os Riscos do Dia a Dia","Aula 7: Quem é o ""Dono"" do Conteúdo Gerado pela IA?","Para um conteúdo ser protegido por direitos autorais, a lei exige criatividade de um autor humano. A tendência legal atual, principalmente nos EUA, é que uma imagem gerada por um comando simples (ex: ""um astronauta em um cavalo"") não pode ser protegida por direitos autorais, pois faltou autoria humana. No entanto, se você usa elementos originais seus (como um personagem que você criou) no prompt, você continua sendo o dono dos direitos sobre esse elemento, embora a imagem final gerada pela IA possa não ser protegível.","Se um funcionário digita um comando simples (""crie uma imagem de um cachorro na lua"") e a IA gera uma imagem sem qualquer outra intervenção, quem a lei considera o dono dos direitos autorais da imagem?","a) Atualmente, a tendência legal é que a imagem é de autoria do funcionário que digitou o comando, pois sem o comando a imagem não existiria.","b) Atualmente, a tendência legal é que a imagem é de autoria da empresa que está empregando o funcionário, pois a imagem foi gerada em horário de trabalho.","c) Atualmente, a tendência legal é que a imagem é de autoria da empresa que desenvolveu a ferramenta de IA, pois foi ela quem treinou a ferramenta.","d) Atualmente, a tendência legal é que a imagem não seja passível de proteção por direitos autorais, pois carece de autoria humana.","d) A falta de criatividade humana direta na obra é o principal argumento para que o output de IA, por si só, caia em domínio público.",""
"Módulo 1: Conhecendo os Riscos do Dia a Dia","Aula 8: O Papel Humano: Transformando o Output em Algo Protegido","Para usar LLMs de forma segura, trate-os como parceiros de brainstorming, não como substitutos do processo criativo. Em vez de pedir um roteiro pronto, peça ideias de temas ou uma estrutura. Sempre revise e reescreva completamente o texto gerado, adicionando sua perspectiva e o tom da marca. Para imagens e vídeos, use o material gerado como um rascunho ou elemento em uma composição maior, adicionando seus próprios toques. A contribuição humana substancial é o que transforma o output da IA em algo original e passível de proteção.","O que transforma um texto básico gerado por IA em um conteúdo sobre o qual a empresa pode ter direitos autorais?","a) Adicionar o logotipo da empresa ao final do texto.","b) Apenas registrar o texto em nome da empresa, mesmo sem alterá-lo.","c) Um trabalho humano substancial de revisão, edição, adição de novas ideias e reescrita para dar ao texto uma originalidade própria.","d) Publicar o texto no blog da empresa antes de qualquer outra pessoa.","c) A contribuição criativa humana é o elemento chave para transformar o resultado da IA em uma obra passível de proteção autoral.",""
"Módulo 1: Conhecendo os Riscos do Dia a Dia","Aula 9: Ferramentas e Verificação Prática","Para verificar a originalidade do conteúdo, use ferramentas práticas. Para textos, utilize verificadores de plágio e similaridade (existem opções gratuitas e pagas) para comparar o texto com documentos na internet. Para imagens, use a busca reversa de imagens (como Google Imagens ou TinEye) para checar se são similares a fotos ou ilustrações existentes. Lembre-se que essas ferramentas não são infalíveis, então a combinação da verificação humana com a da ferramenta oferece a maior segurança.","Antes de usar uma imagem gerada por IA em um post de rede social, qual é um passo prático e rápido que ajuda a verificar se ela é perigosamente similar a uma imagem existente?","a) Perguntar a um colega se ele já viu a imagem antes.","b) Usar um serviço de busca reversa de imagens (como o Google Imagens) para ver se resultados muito parecidos aparecem.","c) Apenas confiar que a IA sempre cria imagens 100% únicas.","d) Verificar os metadados do arquivo da imagem em busca de informações de copyright.","b) A busca reversa é uma ferramenta prática e acessível para uma primeira verificação de originalidade e potenciais fontes de inspiração da IA.",""
"Módulo 1: Conhecendo os Riscos do Dia a Dia","Aula 10: Política da Empresa e A Quem Recorrer","O objetivo deste curso foi mostrar que LLMs são excelentes assistentes, mas não devem substituir a criatividade humana. Aprendemos a proteger as informações da empresa (input) e a tratar o resultado (output) com um olhar crítico, adicionando originalidade e verificando fontes. A regra de ouro é simples: na dúvida sobre o uso de um conteúdo, não continue. Pare e pergunte ao seu superior ou ao departamento responsável (Jurídico, Compliance) o que fazer.","Você tem uma dúvida específica sobre o uso de um texto gerado por IA para um novo contrato comercial. Qual é a única atitude 100% segura?","a) Pesquisar a resposta em blogs de tecnologia e seguir o que eles recomendam.","b) Não usar o texto e tentar escrever tudo do zero, mesmo que leve muito mais tempo.","c) Usar o texto, pois em um contrato interno o risco é baixo.","d) Parar e consultar o departamento Jurídico ou de Compliance da empresa, que é o único canal oficial para essa orientação.","d) Para questões complexas e de alto risco, a única ação segura é buscar orientação nos canais internos oficiais da empresa.",""
"Módulo 2: Construindo IA Responsável","Aula 1: O Que é Direito Autoral?","Primeiramente, é essencial definir o que é Direito Autoral e o que ele protege. De acordo com a Lei nº 9.610/98, conhecida como a Lei de Direitos Autorais, o direito autoral é o conjunto de prerrogativas que a lei garante ao criador de uma obra intelectual para que ele possa gozar dos benefícios morais e patrimoniais resultantes da exploração de suas criações. Conforme o Art. 7º da mesma lei, obras são as criações do espírito, expressas por qualquer meio ou fixadas em qualquer suporte, tangível ou intangível. Isso inclui diversos tipos de criações como textos, músicas, ilustrações, fotografias, apresentações de slides e até mesmo programas de computador. É fundamental entender que a lei protege a expressão de uma ideia, e não a ideia em si. A obra é considerada protegida a partir do momento em que é fixada em algum meio. A proteção do direito autoral no Brasil é automática. A lei garante dois tipos de direitos: o moral (ligado à pessoa do autor, intransferível) e o patrimonial (direito de explorar economicamente a criação, que pode ser transferido).","Qual das seguintes afirmações sobre direitos autorais é a correta?","a) Para uma obra ser protegida, ela precisa ser registrada em um órgão oficial do governo.","b) Direitos autorais protegem principalmente as ideias e conceitos abstratos de uma pessoa.","c) A proteção do direito autoral sobre uma obra (como um texto ou foto) surge no momento de sua criação.","d) Apenas obras de grande valor artístico ou comercial são protegidas por lei.","c) O direito autoral no Brasil é declaratório, não constitutivo. Ele nasce com a obra.",""
